"title","instructor","guid","link","description","registration_url","registration_description","parkids","parknames","startdate","enddate","starttime","endtime","contact_phone","location","categories","coordinates","image","pubDate"
"Summer on the Hudson: Tai Chi",,"2,146,733","http://www.nycgovparks.org/events/2026/08/09/summer-on-the-hudson-tai-chi","Join Silvana Pizzuti to learn and practice Tai Chi, a slow moving martial art with health benefits for all fitness levels. Wear comfortable clothes and sunscreen.",,,"M072","Riverside Park","08/09/2026","08/09/2026","2026-08-09 08:00:00","2026-08-09 09:30:00","(212) 870-3089","Soldiers' and Sailors' Monument (in Riverside Park)","Fitness | Outdoor Fitness | Exercise Classes","40.79199981689500000, -73.97899627685500000","http://www.nycgovparks.org/common_images/events/67e1a8e065458.jpg","2026-08-09 00:00:04"
"Summer Sports Experience: Basketball","Donald Kane","2,181,767","http://www.nycgovparks.org/events/2026/08/09/summer-sports-experience-basketball","The Summer Sports Experience program participants receive age-appropriate instruction through organized clinics, skill stations, drills, conditioning, and live game situations led by experienced NYC Parks staff",,"Registration is closed.","R129","Blood Root Valley","08/09/2026","08/09/2026","2026-08-09 08:00:00","2026-08-09 14:00:00",,"Greenbelt Recreation Center (in Blood Root Valley)","Best for Kids | Sports | Summer Sports Experience | Recreation Center Programming | Basketball/Netball","40.59198260134300000, -74.13947248458900000",,"2026-08-09 00:00:04"
"NYRR Open Run: Marine Park",,"2,095,486","http://www.nycgovparks.org/events/2026/08/09/nyrr-open-run-marine-park","NYRR Open Run Brings free, 5K weekly community-led runs,&nbsp;to neighborhood parks across the greater New York City area. The program is free and open to runners and walkers of all ages, abilities, and experience levels.Marine Park serves the nearby communities of Canarsie, Flatlands, Mill Basin, Bergen Beach, and others. The course is flat and includes no sharp turns.","https://www.nyrr.org/openrun/parks/marine-park?utm_source=NYC+Gov+Parks&utm_medium=Website+&utm_campaign=Marine+Park",,"B057","Marine Park","08/09/2026","08/09/2026","2026-08-09 08:45:00","2026-08-09 11:00:00",,"Carmine Carro Community Center (in Marine Park)","Running/Jogging","40.60794394557300000, -73.93746501207400000",,"2026-08-09 00:00:04"
"NYRR Open Run: Cunningham Park",,"2,098,303","http://www.nycgovparks.org/events/2026/08/09/nyrr-open-run-cunningham-park","NYRR Open Run brings free, 5K weekly community-led runs,&nbsp;to neighborhood parks across the greater New York City area. The program is free and open to runners and walkers of all ages, abilities, and experience levels.One of the largest parks in Queens, Cunningham Park was built between 1928 and 1944 and offers culture, sports (including a large tennis facility), and nature activities and facilities.","https://www.nyrr.org/openrun/parks/cunningham-park?utm_source=NYC+Gov+Parks&utm_medium=Website+&utm_campaign=Cunningham+Park",,"Q021","Cunningham Park","08/09/2026","08/09/2026","2026-08-09 08:45:00","2026-08-09 11:00:00",,"Cunningham Park Parking Lot (in Cunningham Park)","Running/Jogging","40.73089981079101600, -73.77400207519531000",,"2026-08-09 00:00:04"
"NYRR Open Run: Conference House Park Dog Days of Summer",,"2,095,172","http://www.nycgovparks.org/events/2026/08/09/nyrr-open-run-conference-house-park","Bring your 4-legged friends to a special Open Run!&nbsp;NYRR Open Run Brings free, 5K weekly community-led runs,&nbsp;to neighborhood parks across the greater New York City area. The program is free and open to runners and walkers of all ages, abilities, and experience levels.Located at the southernmost point of New York state, Conference House Park features four historic buildings that trace Staten Island’s 300+ year history, breathtaking views of the Raritan Bay, extensive hiking and biking trails, and more.","https://www.nyrr.org/openrun/parks/conference-house-park?utm_source=NYC+Gov+Parks&utm_medium=Website+&utm_campaign=Conference+House+Park",,"R006","Conference House Park","08/09/2026","08/09/2026","2026-08-09 09:00:00","2026-08-09 12:00:00",,"Conference House Park","Running/Jogging","40.50260162353500000, -74.25180053710900000",,"2026-08-09 00:00:04"
"Adventure Course Free Public Sunday Morning Program",,"2,211,532","http://www.nycgovparks.org/events/2026/08/09/adventure-course-free-public-sunday-morning-program","Free programs are available on a first-come, first-served basis. Morning program registration takes place from 9:30am-10:00am. Please dress appropriately: no sandals, flip flops, or open-toed shoes are allowed. Our programs are appropriate for those ages 8 and older. The Adventure Course program lasts about two hours. Due to its popularity, we ask that you arrive at least half an hour before the start time of each program. Space is limited. A valid Photo ID is required for participants ages 18 and older.",,"Registration not required.","Q001","Alley Pond Park","08/09/2026","08/09/2026","2026-08-09 09:30:00","2026-08-09 11:30:00","(718) 217-4685","Alley Pond Adventure Course (in Alley Pond Park)","Urban Park Rangers | Adventure Courses/Rock Climbing","40.74276810329900000, -73.74112599475100000",,"2026-08-09 00:00:04"
"Summer Birding",,"2,219,721","http://www.nycgovparks.org/events/2026/08/09/summer-birding","Bronx Birder Haley Scott of the Feminist Bird Club leads this walk through the gardens and woodlands to seek out summer birds. Observe the plants, insects, and habitats at Wave Hill that make it so appealing for such a wide variety of birds.&nbsp;&nbsp;A limited number of binoculars, monoculars, and walking sticks are available to borrow at the Perkins Visitor Center. Birding walks take place on the second Sunday of every month.&nbsp;&nbsp;Ages 10 and older welcome with an adult.&nbsp;Severe weather cancels. Registration required; online or by calling 718.549.3200 x251. Questions? Please contact us at information@wavehill.org or by calling the number and extension provided above.&nbsp;&nbsp;Walks follow a route along mixed-material pathways with varying elevations. A limited amount of walking sticks are available to borrow. Pace varies from a slow walk to moderate walk throughout.&nbsp;","https://www.wavehill.org/calendar/summer-birding-aug2026",,"X209","Wave Hill","08/09/2026","08/09/2026","2026-08-09 09:30:00","2026-08-09 11:00:00","7185493200","Wave Hill","Birding | Wildlife | Workshops","40.89870071411133000, -73.91249847412110000","http://www.nycgovparks.org/common_images/events/6a717211be462.jpg","2026-08-09 00:00:04"
"Waterfront Walks",,"2,201,585","http://www.nycgovparks.org/events/2026/08/09/waterfront-walks","Join a free walking tour to learn about the history of the Brooklyn waterfront at Brooklyn Bridge Park! Learn about the local ecology, Brooklyn Bridge Park's sustainable design, and how the park came to life! Tours last roughly 60-90 minutes, starting from the entrance of Pier 1 and finishing near Pier 3.Advance registration is required. Registration opens a month in advance of each date. Please note this event is subject to change due to weather or other extenuating circumstances.&nbsp;","https://eventvesta.com/events/152311/t/tickets",,"B431","Brooklyn Bridge Park","08/09/2026","08/09/2026","2026-08-09 10:30:00","2026-08-09 12:00:00","718-222-9939","Brooklyn Bridge Park","Waterfront | Walking","40.70009994506800000, -73.99729919433600000","http://www.nycgovparks.org/common_images/events/6a3d547e44956.jpg","2026-08-09 00:00:04"
"Inwood Canoe Club Sunday Open House",,"2,190,843","http://www.nycgovparks.org/events/2026/08/09/inwood-canoe-club-sunday-open-house1","Join us for our free, guided 20-minute kayak trips on the Hudson River just north of the George Washington Bridge.If you plan on paddling with us, please complete your 2026 season waiver prior to your first visit this year.When: &nbsp;Every Sunday, Memorial Day – Labor Day (May 24 – September 6, 2026).Signup begins in person at 9 a.m. for three guided “waves” on a first come, first served basis. Once you’ve signed up, be sure to return to the boathouse on time or you’ll forfeit your spot.Sign up to paddle in a boat by yourself or with a friend in a tandem kayak (as available). No previous paddling experience necessary!Wave times:o&nbsp;&nbsp; Wave 1: Arrive 9:45 a.m., launch 10 a.m.o&nbsp;&nbsp; Wave 2: Arrive 10:30 a.m., launch 10:45 a.m.o&nbsp;&nbsp; Wave 3:&nbsp;Arrive 11:15 a.m., launch 11:30 a.m.&nbsp;What: &nbsp;Open House Sundays at Inwood Canoe ClubKayak on one of our 12 SOTs (sit-on-tops) or in a tandem kayak (built for two).Paddle with your family, friends or new acquaintances in our “canoemaran.” Up to six guests + two ICC “Turtles” (aka members) will fit comfortably.&nbsp;Details: &nbsp;&nbsp;All guests must be able to swim.Must be a minimum of 8 years old. Guests under 18 must bring a parent or guardian. Whether a minor will be allowed to paddle with us depends on conditions that day and on the discretion of the club member running the Open House.We supply boat, paddle and PFD (personal flotation device, aka life vest). No prior paddling experience required.Wear shoes and clothes that can get wet.Don't bring many valuables; you will need to leave them at the boathouse or supply your own waterproof bag for them. ICC is not liable for the loss of any valuables left in the boathouse, in a boat or on the surrounding property.No pets at Open House.Since Open House began in 2002, the club has offered the only walk-up kayaking program in Northern Manhattan. We generally serve over 1,000 guests every summer.*****Participe en una salida en kayak de 20-minutos, gratuita, guiada, en el Río Hudson justo al norte del George Washington Bridge.Completar el formulario de exención.CUÁNDO: Todos los domingos, desde Memorial Day (Día de los Caídos) a Labor Day (Día del Trabajo) – (24 de mayo – 6 de septiembre de 2026)Puedes inscribirte en persona a partir de las 9 a.m. frente al club ICC para salir, por orden de llegada, en uno de los tres grupos guiados. Una vez que te hayas registrado, asegúrate de regresar a tiempo o perderás tu lugar.Regístrate para remar en un kayak solo o con un amigo en un kayak tándem (según disponibilidad). ¡No se necesita experiencia previa de remar!!Horarios de grupos guiados:Grupo 1: entrada al embarcadero a las 9:45 a.m., salida al río en kayak a las 10 a.m.Grupo 2: entrada al embarcadero a las 10:30 a.m., salida al río en kayak a las 10:45 a.m.Grupo 3: entrada al embarcadero a las 11:15 a.m., salida al río en kayak a las 11:30 a.m.QUÉ: Domingos: Puertas Abiertas en Inwood Canoe ClubSalidas en kayaks abiertos (SOT) individuales o tándem (dos personas)Rema con tu familia, amigos o desconocidos en nuestro “canoemaran”. Caben cómodamente hasta seis (6) invitados + dos miembros de ICCDETALLES: &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Lleve una mascarilla mientras esté en Inwood Canoe Club “boathouse”Todos los visitantes deben poder nadarDebe tener un mínimo de 8 años de edad. Los participantes menores de 18 años deben traer a un padre o tutor. La decisión de permitir remar con nosotros a un menor depende de las condiciones de ese día y de la discreción del socio del club que dirija la actividad de Open HouseSuministramos bote, remo y PFD (chaleco salvavidas); no necesita experiencia previaVista calzado que se pueda mojarNo traiga muchas cosas de valor; tendrá que dejarlas en tierra o suministrar su propia bolsa impermeable para ellos. ICC no se responsabiliza por artículos perdidos o dañados en el embarcadero, en un bote o en la propiedadLos participantes menores de 18 años deben traer a un padre o tutor. La decisión de permitir remar con nosotros a un menor depende de las condiciones de ese día y de la discreción del socio del club que dirija la actividad de Open HouseNo se permite traer mascotasDesde que se inició el programa de Open House en 2002, el club ha ofrecido el único programa de kayak y canoa sin cita en el Norte de Manhattan. Por lo general, servimos a 1,000 visitantes cada verano.","https://waiver.smartwaiver.com/w/ks5zrc7ydtmiyqvpgqnvzg/web/","https://waiver.smartwaiver.com/w/ks5zrc7ydtmiyqvpgqnvzg/web/
https://waiver.smartwaiver.com/w/wkghqkc85hesmk48mrawdk/web/","M042","Inwood Hill Park","08/09/2026","08/09/2026","2026-08-09 09:00:00","2026-08-09 12:30:00",,"Inwood Canoe Club (in Inwood Hill Park),Inwood, west end of Dyckman Street, then south through the gate and past the sailing club. (in Inwood Hill Park)","Kayaking and Canoeing | Waterfront | Outdoor Fitness | Accessible Activities | Swimming/Aquatics","40.86869812011719000, -73.93260192871094000; 40.86697316653300000, -73.93295288085900000","http://www.nycgovparks.org/common_images/events/69ceab731ce1c.jpg","2026-08-09 00:00:04"
"It's My Park at Mahoney Playground",,"2,212,404","http://www.nycgovparks.org/events/2026/08/09/its-my-park-at-mahoney-playground","This It's My Park season, volunteer with Friends of Mahoney Playground to clean and prepare the ground for the future site of a native plant garden at Mahoney Playground. We look forward to cleaning up the park with you!",,,"R025","Mahoney Playground","08/09/2026","08/09/2026","2026-08-09 09:00:00","2026-08-09 11:00:00",,"Mahoney Playground","Volunteer | It's My Park","40.64339828491211000, -74.08580017089844000",,"2026-08-09 00:00:04"
